SampleID	RawReads	TrimmedReads	TrimmedPercentage
PN3_SID236	1593624	974311	38.86
PN3_SID237	1494977	932366	37.63
PN3_SID238	1645859	947430	42.44
PN3_SID239	1489009	865228	41.89
PN3_SID240	1121240	701017	37.48
PN3_SID241	1653003	919569	44.37
PN3_SID242	1429563	875501	38.76
PN3_SID243	1370480	797258	41.83
PN3_SID244	1533115	905194	40.96
PN3_SID245	1694922	979779	42.19
PN3_SID246	1080579	601998	44.29
PN3_SID247	1452645	869308	40.16
PN3_SID248	1389400	809538	41.73
PN3_SID249	1284921	817172	36.40
PN3_SID250	1512627	908565	39.93
PN3_SID251	1119404	690000	38.36
PN3_SID252	1182082	716405	39.39
PN3_SID253	1519304	866124	42.99
PN3_SID254	1163876	664271	42.93
PN3_SID255	1620793	976856	39.73
PN3_SID256	1096963	648916	40.84
PN3_SID257	1227392	713482	41.87
PN3_SID258	1176513	608732	48.26
PN3_SID259	1468247	773479	47.32
PN3_SID260	1412349	827890	41.38
PN3_SID261	1410947	757277	46.33
PN3_SID262	1099660	643366	41.49
PN3_SID263	1530310	878696	42.58
PN3_SID264	1542709	928308	39.83
PN3_SID265	1890682	1089899	42.35
PN3_SID266	1369158	837115	38.86
PN3_SID267	1499638	960925	35.92
PN3_SID268	1263426	790308	37.45
PN3_SID269	1354112	835952	38.27
PN3_SID270	1325033	864291	34.77
PN3_SID271	1428402	833541	41.65
PN3_SID272	1806293	1130395	37.42
PN3_SID273	1577840	960753	39.11
PN3_SID274	1984792	1280880	35.47
PN3_SID275	1687738	930777	44.85
PN3_SID276	2027155	1239011	38.88
PN3_SID277	1208786	589828	51.20
PN3_SID278	1463482	927837	36.60
PN3_SID279	1710658	999963	41.55
PN3_SID280	1524989	781659	48.74
PN3_SID281	1212531	787851	35.02
PN3_SID282	1274449	788793	38.11
PN3_SID283	1263456	771107	38.97
PN3_SID284	1337173	807464	39.61
PN3_SID285	1483122	909314	38.69
PN3_SID286	1653723	1033165	37.52
PN3_SID287	1276654	776714	39.16
PN3_SID288	1036121	674621	34.89
PN4_SID289	676394	537046	20.60
PN4_SID290	653140	492397	24.61
PN4_SID291	1072935	818315	23.73
PN4_SID292	750504	575288	23.35
PN4_SID293	633347	477551	24.60
PN4_SID294	826182	644180	22.03
PN4_SID295	887830	676261	23.83
PN4_SID296	1022073	795308	22.19
PN4_SID297	935916	732590	21.72
PN4_SID298	851460	665397	21.85
PN4_SID299	910806	701943	22.93
PN4_SID300	787162	609990	22.51
PN4_SID301	852065	667453	21.67
PN4_SID302	1099076	836257	23.91
PN4_SID303	723294	546473	24.45
PN4_SID304	822808	636143	22.69
PN4_SID305	577070	455426	21.08
PN4_SID306	793980	607648	23.47
PN4_SID307	1246785	947736	23.99
PN4_SID308	903306	703384	22.13
PN4_SID309	996974	784740	21.29
PN4_SID310	1146381	898216	21.65
PN4_SID311	1588192	1217446	23.34
PN4_SID312	503553	387337	23.08
PN4_SID313	653790	517753	20.81
PN4_SID314	571593	441756	22.71
PN4_SID315	813874	642173	21.10
PN4_SID316	728641	562083	22.86
PN4_SID317	619024	474312	23.38
PN4_SID318	864267	666698	22.86
PN4_SID319	720437	552925	23.25
PN4_SID320	1386786	1046853	24.51
PN4_SID321	1081993	847747	21.65
PN4_SID322	1072818	856188	20.19
PN4_SID323	601716	463171	23.02
PN4_SID324	610418	469516	23.08
PN4_SID325	885706	679874	23.24
PN4_SID326	1508574	1170715	22.40
PN4_SID327	841551	648319	22.96
PN4_SID328	1188637	919233	22.66
PN4_SID329	1037189	802712	22.61
PN4_SID330	1354096	1041151	23.11
PN4_SID331	969407	753968	22.22
PN4_SID332	1273015	984702	22.65
PN4_SID333	1057468	828346	21.67
PN4_SID334	1371633	1057566	22.90
PN4_SID335	792837	603390	23.89
PN4_SID336	526956	414846	21.28
PN4_SID337	593051	443386	25.24
PN4_SID338	743060	577685	22.26
PN4_SID339	533673	406629	23.81
PN4_SID340	858505	656111	23.58
PN4_SID341	713401	549205	23.02
PN4_SID342	1000286	763209	23.70
PN4_SID343	931563	716064	23.13
PN4_SID344	721435	551020	23.62
PN4_SID345	1026061	809402	21.12
PN4_SID346	783993	600227	23.44
PN4_SID347	779585	609323	21.84
PN4_SID348	595314	460686	22.61
PN4_SID349	254541	196169	22.93
PN4_SID350	313318	237233	24.28
PN4_SID351	746990	573407	23.24
PN4_SID352	455584	349847	23.21
PN4_SID353	302159	232488	23.06
PN4_SID354	446771	333870	25.27
PN4_SID355	459123	341249	25.67
PN4_SID356	459292	349904	23.82
PN4_SID357	564613	417990	25.97
PN4_SID358	536731	411933	23.25
PN4_SID359	599360	460809	23.12
PN4_SID360	508693	387287	23.87
PN4_SID361	308708	238032	22.89
PN4_SID362	437823	342432	21.79
PN4_SID363	864701	692122	19.96
PN4_SID364	343696	270115	21.41
PN4_SID365	633216	493505	22.06
PN4_SID366	225553	180220	20.10
PN4_SID367	687599	527951	23.22
PN4_SID368	685078	530565	22.55
PN4_SID369	505169	390188	22.76
PN4_SID370	530730	417276	21.38
PN4_SID371	724874	544913	24.83
PN4_SID372	307217	238201	22.46
PN4_SID373	1013145	730042	27.94
PN4_SID374	489573	386554	21.04
PN4_SID375	694838	537493	22.64
PN4_SID376	754212	556893	26.16
PN4_SID377	735459	585397	20.40
PN4_SID378	702332	551089	21.53
PN4_SID379	587878	455888	22.45
PN4_SID380	784639	605489	22.83
PN4_SID381	698749	546753	21.75
PN4_SID382	794305	621735	21.73
PN4_SID383	1224788	950353	22.41
PN4_SID384	1284233	1024383	20.23
