Plot,Rep,Genotype,accession,species,species_mex,origin,notes1,notes2,DTS_corr,DTA_corr,GDDTS_corr,GDDTA_corr,PH_corr,EH_corr,EN_corr,NBR_corr,SPAD_corr,LAE_corr,StPi_corr,StPu_corr,Predicted_N_corr,inv4m_introgression
1890,2,Zv.0250_P2_P3_P1.2.1.1,Zv.0250,Bals,Bals,PV23-2274,,,73.63124612,74.37729545,808.924,821.061,172.072,74.024,1.971,1.915,45.844,4.987584914,-0.002841712,0.003345801,,no
1891,2,Zl.0030_P2_P4_P1.3.1.1,Zl.0030,Zlux,Zlux,PV23-1516,,,72.25936456,72.05274333,787.986,784.81,188.455,75.227,2.95,1.945,26.838,5.989305958,-0.002908971,0.003155125,,no
1892,2,Zv.0480_P3_P4_P1.2.1.1,Zv.0480,Bals,Bals,PV23-2234,,,72.67738423,71.39493042,794.929,773.555,180.946,71.394,2.975,0.942,39.223,5.990919376,-0.002976231,0.007504091,,no
1893,2,Zx.0580_P3_P5_P1.4.1.1,Zx.0580,Nobo,Mex,PV23-1125,,,73.46808065,72.34038155,808.267,788.801,166.535,73.964,1.978,1.946,45.354,4.992556766,-0.003043491,-0.006177428,,no
1894,2,Zd.0030_P2_P5_P2.2.1.1,Zd.0030,Zdip,Zdip,PV23-923,,,72.94997271,72.88923859,799.837,798.206,170.554,64.42,1.983,1.956,42.439,5.994272595,-0.003110751,0.007765532,,no
1895,2,Zl.0020_P3_P1_P2.1.1.1,Zl.0020,Zlux,Zlux,PV23-1401,,,72.95538422,74.99868577,797.773,830.802,198.375,80.026,2.016,1.933,47.836,5.995525142,-0.00317801,0.002989712,,no
1896,2,Zx.0440_P1_P2_P1.1.1.1,Zx.0440,Mesa,Mex,PV23-830,,,74.49499603,74.38933159,824.57,823.204,201.676,84.517,2.043,1.02,41.394,4.996668332,-0.00324527,0.003034875,,no
1897,2,Zx.0470_P2_P3_P1.2.1.1,Zx.0470,Mesa,Mex,PV23-2354,,,71.53793012,72.30967965,777.965,790.828,199.193,94.166,3.006,3.084,44.196,4.997188832,-0.00331253,-0.001067868,,no
1898,2,Zx.0430_P1_P2_P1.2.1.1,Zx.0430,Mesa,Mex,PV23-2439,,,73.81002272,73.72833609,811.219,811.61,180.097,66.226,2.002,1.981,14.217,4.997733837,-0.00337979,-0.006264702,,no
1899,2,Zx.0570_P2_P4_P1.4.1.1,Zx.0570,Nobo,Mex,PV23-1190,,,73.57133015,72.37474566,808.917,790.284,192.356,80.734,2.023,2.034,47.752,4.998092085,-0.003447049,0.002931744,,no
1900,2,Zv.0410_P2_P4_P2.1.1.1,Zv.0410,Bals,Bals,PV23-1658,,,75.93829399,77.60250825,848.703,873.16,202.183,91.743,3.041,2.052,9.58,4.998132588,-0.003514309,0.002970048,,no
1901,2,Zd.0020_P2_P1_P1.2.1.1,Zd.0020,Zdip,Zdip,PV23-1825,,,73.44412287,72.58022139,806.934,792.99,209.789,90.898,2.041,3.053,20.61,5.998314907,-0.003581569,0.002931744,,no
1902,2,Zx.0580_P3_P3_P2.4.1.1,Zx.0580,Nobo,Mex,PV23-1110,,,72.81167046,72.85467686,798.201,797.791,180.355,63.794,2.059,2.094,31.502,4.998495483,-0.003648829,0.003054765,,no
