Plot,Rep,Genotype,Species,species_mex,origin,notes1,notes2,GDDTS_corr,GDDTA_corr,PH_corr,EH_corr,NBR_corr,SPAD1_corr,SPAD2_corr,StPu_corr,StPi_corr,BW_corr,BL_corr,SL_corr
6897,3,Zv.0310_P3_P5_P1.2.1.1,Bals,Bals,PV23-2082,,,878.4661643,848.939609,186.3136576,58.20268823,0.826893615,54.08000654,32.9582198,-0.023712931,0.009445538,6.878040774,65.2859535,14.19306816
6898,3,Zx.0560_P2_P5_P1.1.1.1,Dura,Mex,PV23-577,,,883.2916668,855.8092305,174.4277619,68.84149901,0.152339691,51.03974725,32.21842282,-0.022596599,0.01221196,8.413305225,52.11034752,13.49716739
6899,3,Zd.0010_P3_P3_P3.4.1.1,Zdip,Zdip,PV23-2046,,,860.085463,869.6162447,183.6188578,66.74333994,1.732578053,60.19482738,NA,-0.022839289,0.017657548,7.499138021,58.62999199,13.28343535
6900,3,Zd.0010_P2_P4_P2.1.1.1,Zdip,Zdip,PV23-1972,,,859.6554651,844.3997758,166.9683769,57.84911178,-0.123140372,54.99546051,34.61453014,-0.022885685,0.001086904,8.73470355,60.51344058,13.97967914
6901,3,Zv.0210_P1_P4_P1.1.1.1,Bals,Bals,PV23-1759,,,854.3388688,839.122654,204.787517,62.31663712,0.852053183,59.60384046,51.2730477,-0.028059571,0.007136742,7.705448386,66.16963464,14.78504054
6902,3,Zl.0010_P1_P2_P1.3.1.1,Zlux,Zlux,PV23-1377,,,887.8080022,883.0007132,191.9417489,67.79398954,1.116856729,59.43377369,39.18587528,-0.022926927,0.036745543,7.555074907,55.36274431,14.27303772
6903,3,Zv.0240_P2_P3_P1.1.1.1,Bals,Bals,PV23-2178,,,824.2564089,809.2715152,175.0801622,59.24287361,1.142575176,53.5062441,37.27298907,-0.026996506,-0.003259668,7.185967258,54.90870005,13.27394822
6904,3,Zv.0340_P2_P3_P1.1.1.1,Bals,Bals,PV23-1553,,,853.4080748,853.7948616,193.889619,66.1658876,1.01722041,45.49619796,30.93401788,-0.031007922,-0.006207272,8.471927918,63.73114823,14.26391372
6905,3,Zv.0220_P3_P1_P2.2.1.1,Bals,Bals,PV23-1772,,,959.0728432,955.3511796,215.3969807,86.9881268,1.008139545,58.05439208,46.57353646,-0.034297523,0.003303113,7.79871636,54.42460184,13.17437793
6906,3,Zx.0580_P2_P5_P5.3.1.1,Nobo,Mex,PV23-1059,,,880.2892743,834.7203182,195.9874392,51.13967141,1.237949926,62.38528729,35.46006428,-0.029035459,-0.006536454,9.616311098,69.15093916,13.7659425
6907,3,Zv.0250_P2_P3_P1.2.1.1,Mesa,Mex,PV23-2274,,,868.2008824,866.1967086,155.9096587,54.07609785,1.292886558,57.58262311,35.10341131,-0.028672925,0.004472929,9.079321212,60.28347601,10.86032167
6908,3,Zx.0350_P1_P1_P2.2.1.1,Mesa,Mex,PV23-2366,,,845.431606,818.4140371,176.1115672,61.62426747,1.176440998,49.77256036,44.57859464,-0.031244355,-0.015047657,7.221849364,49.32104699,13.25523815
6909,3,Zv.0390_P2_P3_P1.2.1.1,Bals,Bals,PV23-2090,,,899.9433548,871.8985234,220.1223406,74.11566167,2.224935912,62.9588852,60.83068713,-0.031244432,-0.006657159,8.291286281,62.95595636,14.25476049
6910,3,Zv.0260_P2_P2_P2.2.1.1,Bals,Bals,PV23-1795,,,862.0826296,867.6236937,211.9058956,83.94191754,0.270479837,56.41060502,46.99647392,-0.035307106,-0.008455536,7.399130895,66.75680002,15.05260893
6911,3,Zx.0560_P2_P2_P2.1.1.1,Dura,Mex,PV23-557,,,856.8005425,849.7718278,201.4197319,64.76757476,2.185941412,61.22237004,38.44665215,-0.033489237,-0.018115592,9.078241782,78.71564946,12.15109882
6912,3,B73,B73,B73,,,,919.2726875,883.1826169,195.1414001,66.15827776,1.211572376,56.69972004,28.48012209,-0.041701561,-0.066830336,6.685383489,53.75688894,13.84867923
6913,3,Zv.0220_P3_P2_P1.2.1.1,Bals,Bals,PV23-1775,,,870.5205103,821.8672398,177.6721289,63.32106302,1.101641838,64.21307958,31.75149649,-0.040485946,-0.037439926,7.874945475,68.9004476,13.85602987
6914,3,Zx.0580_P3_P5_P1.2.1.1,Nobo,Mex,PV23-1123,,,872.7841486,857.3115604,175.4776291,51.03507021,1.132922442,51.83800022,14.19184508,-0.044011249,-0.045545328,7.800942371,65.05530648,12.34293424
6915,3,Zl.0040_P4_P1_P1.1.1.1,Zlux,Zlux,PV23-1448,,,930.7789563,915.1383224,167.7975749,61.23619947,0.116498022,47.09077295,31.43756015,-0.039123484,-0.056898973,5.861789342,49.33139664,13.25679699
6916,3,Zx.0560_P4_P4_P4.2.1.1,Dura,Mex,PV23-641,,,816.4604917,784.2977331,166.9927064,67.62806856,1.084784909,51.96179541,7.389486266,-0.035570249,-0.048839117,5.934924485,48.03780878,11.47006111
6917,3,Zx.0150_P2_P2_P1.1.1.1,Chal,Mex,PV23-495,,,876.4774238,860.2489127,184.3989119,55.53039081,1.194317524,56.34480956,46.21024237,-0.036757965,-0.078307715,8.644391088,66.15312573,13.86281602
6918,3,Zx.0550_P4_P5_P3.2.1.1,Dura,Mex,PV23-749,,,803.7423588,812.6578628,184.5523206,53.14468036,2.168438539,54.16406873,44.56872315,-0.028517775,-0.029703892,8.536201971,72.67111231,13.16527443
6919,3,Zv.0140_P3_P2_P1.1.1.1,Bals,Bals,PV23-1811,,,870.6487851,893.6155857,201.8795207,85.26611199,1.25297447,52.0490111,45.51035612,-0.030307806,-0.020182515,7.456018735,57.57420126,13.96675968
6920,3,Zd.0030_P2_P3_P3.5.1.1,Zdip,Zdip,PV23-893,,,991.288184,995.6901013,150.9360022,54.33854368,1.207765045,58.79402525,NA,-0.026217309,-0.018542937,8.147129555,62.2398777,11.2688295
